# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 95K of event 'L1-dcache-load-misses'
# Event count (approx.): 643661612
#
# Overhead  Command    Shared Object      Symbol                                        
# ........  .........  .................  ..............................................
#
    42.30%  diag_mult  diag_mult          [.] dummy_reference
    42.29%  diag_mult  diag_mult          [.] reference
    13.61%  diag_mult  diag_mult          [.] singleThread
     0.60%  diag_mult  [kernel.kallsyms]  [k] clear_page_erms
     0.21%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock
     0.18%  diag_mult  [kernel.kallsyms]  [k] try_charge
     0.12%  diag_mult  [kernel.kallsyms]  [k] get_page_from_freelist
     0.08%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.08%  diag_mult  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.06%  diag_mult  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.04%  diag_mult  [kernel.kallsyms]  [k] __handle_mm_fault
     0.04%  diag_mult  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.04%  diag_mult  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.03%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_commit
     0.02%  diag_mult  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.02%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_prepare.part.65
     0.02%  diag_mult  [kernel.kallsyms]  [k] pfn_pte
     0.02%  diag_mult  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.01%  diag_mult  [kernel.kallsyms]  [k] uncharge_page
     0.01%  diag_mult  [kernel.kallsyms]  [k] pmd_pfn
     0.01%  diag_mult  [kernel.kallsyms]  [k] release_pages
     0.01%  diag_mult  [kernel.kallsyms]  [k] unmap_page_range
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_remove_rmap
     0.01%  diag_mult  diag_mult          [.] main
     0.01%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_list
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_counter_try_charge
     0.01%  diag_mult  [kernel.kallsyms]  [k] alloc_pages_vma
     0.01%  diag_mult  [kernel.kallsyms]  [k] _vm_normal_page
     0.01%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.01%  diag_mult  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.01%  diag_mult  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.01%  diag_mult  [kernel.kallsyms]  [k] handle_mm_fault
     0.01%  diag_mult  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.00%  diag_mult  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.00%  diag_mult  [kernel.kallsyms]  [k] page_fault
     0.00%  diag_mult  [kernel.kallsyms]  [k] up_read
     0.00%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  diag_mult  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.00%  diag_mult  [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] free_pcp_prepare
     0.00%  diag_mult  [kernel.kallsyms]  [k] sync_regs
     0.00%  diag_mult  [kernel.kallsyms]  [k] account_user_time
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_page_lruvec
     0.00%  diag_mult  [kernel.kallsyms]  [k] update_curr
     0.00%  diag_mult  [kernel.kallsyms]  [k] cpuacct_account_field
     0.00%  diag_mult  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  diag_mult  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  diag_mult  [kernel.kallsyms]  [k] __do_page_fault
     0.00%  diag_mult  [kernel.kallsyms]  [k] timerqueue_add
     0.00%  diag_mult  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.00%  diag_mult  [kernel.kallsyms]  [k] __dec_node_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] __dec_node_page_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] calc_global_load
     0.00%  diag_mult  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%  diag_mult  [kernel.kallsyms]  [k] __lru_cache_add
     0.00%  diag_mult  ld-2.27.so         [.] _dl_relocate_object
     0.00%  diag_mult  [kernel.kallsyms]  [k] irq_enter
     0.00%  diag_mult  [kernel.kallsyms]  [k] ktime_get
     0.00%  diag_mult  [kernel.kallsyms]  [k] irq_exit
     0.00%  diag_mult  [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  diag_mult  [kernel.kallsyms]  [k] trigger_load_balance
     0.00%  diag_mult  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.00%  diag_mult  [kernel.kallsyms]  [k] read_tsc
     0.00%  diag_mult  [kernel.kallsyms]  [k] switch_to_thread_stack
     0.00%  diag_mult  [kernel.kallsyms]  [k] run_timer_softirq
     0.00%  diag_mult  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.00%  diag_mult  [kernel.kallsyms]  [k] call_function_single_interrupt
     0.00%  diag_mult  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  diag_mult  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  diag_mult  [kernel.kallsyms]  [k] run_local_timers
     0.00%  diag_mult  [kernel.kallsyms]  [k] rb_next
     0.00%  diag_mult  ld-2.27.so         [.] do_lookup_x
     0.00%  diag_mult  [kernel.kallsyms]  [k] page_counter_cancel
     0.00%  diag_mult  [kvm]              [k] pvclock_gtod_notify
     0.00%  diag_mult  libc-2.27.so       [.] __mempcpy_avx_unaligned_erms
     0.00%  diag_mult  [kernel.kallsyms]  [k] error_entry
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_uncharge_list
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  diag_mult  ld-2.27.so         [.] _dl_lookup_symbol_x
     0.00%  diag_mult  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.00%  diag_mult  [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%  diag_mult  [kernel.kallsyms]  [k] vmacache_find
     0.00%  diag_mult  [kernel.kallsyms]  [k] __inc_numa_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] update_load_avg
     0.00%  diag_mult  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.00%  diag_mult  [kernel.kallsyms]  [k] sync_mm_rss
     0.00%  diag_mult  [kernel.kallsyms]  [k] error_exit
     0.00%  diag_mult  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.00%  diag_mult  [kernel.kallsyms]  [k] smp_apic_timer_interrupt
     0.00%  diag_mult  libc-2.27.so       [.] _dl_addr
     0.00%  diag_mult  ld-2.27.so         [.] _dl_runtime_resolve_xsavec
     0.00%  diag_mult  [kernel.kallsyms]  [k] d_path
     0.00%  diag_mult  [kernel.kallsyms]  [k] __queue_work
     0.00%  diag_mult  [kernel.kallsyms]  [k] vmacache_update
     0.00%  diag_mult  ld-2.27.so         [.] strcmp
